#HMM_Genes
#command line: python3 ./src/transit.py
#summary of gene calls: ES=8, GD=5, NE=38, GA=0, N/A=0
#key: ES=essential, GD=insertions cause growth-defect, NE=non-essential, GA=insertions confer growth-advantage, N/A=not analyzed (genes with 0 TA sites)
#ORF	gene	annotation	TAs	ES sites	GD sites	NE sites	GA sites	saturation	mean	call
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	0	0	5	0	0.8000	39.75	NE
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	11	0	0	11	0	0.7273	89.12	NE
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	0	0	20	0	0.7500	198.00	NE
Rv0045c	-	POSSIBLE HYDROLASE 	7	0	0	7	0	0.8571	257.50	NE
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	17	17	0	0	0	0.0000	0.00	ES
Rv0047c	-	hypothetical protein Rv0047c 	8	0	0	8	0	0.2500	71.50	NE
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	0	0	16	0	0.8750	343.00	NE
Rv0049	-	hypothetical protein Rv0049 	9	0	0	9	0	0.7778	272.00	NE
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	0	0	37	0	0.3784	78.93	NE
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	0	0	34	0	0.5294	150.78	NE
