#Zinb
#yaml:
#    date: 2023-01-18 12:15:22
#    transit_version: v4.0.0
#    app_or_command_line: app
#    console_command: transit 
#    calculation_time: 37.7seconds
#    analysis_type: Zinb
#    files:
#       combined_wig: /Users/jeffhykin/repos/transit/src/pytransit/../..//src/pytransit/data/cholesterol_glycerol.transit/comwig.tsv
#       annotation_path: /Users/jeffhykin/repos/transit/src/pytransit/../..//src/pytransit/data/cholesterol_glycerol.transit/annotation.H37Rv.prot_table
#    parameters:
#       normalization: TTR
#       n_terminus: 0.0
#       c_terminus: 0.0
#       pseudocount: 5.0
#       should_append_gene_descriptions: true
#    group_names: [Cholesterol, Glycerol]
#    lfc_columns: [Log 2 FC Cholesterol, Log 2 FC Glycerol]
#    mean_columns: [Mean Cholesterol, Mean Glycerol]
#    summary_info:
#       Hits: 100
#    
#Rv	Gene	TA Sites	Mean Cholesterol	Mean Glycerol	Log 2 FC Cholesterol	Log 2 FC Glycerol	Non Zero Mean Cholesterol	Non Zero Mean Glycerol	Non Zero Percentage Cholesterol	Non Zero Percentage Glycerol	P Value	Adj P Value	Status	Gene Annotation
Rv0022c	whiB5	8	421.9	334.6	0.156	-0.174	482.1	356.9	0.88	0.94	0.791650823650202	1.0	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN WHIB-LIKE WHIB5 
Rv0023	-	12	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 
Rv0024	-	12	175.6	177.5	-0.008	0.008	395.1	224.2	0.44	0.79	0.0549141135386322	0.5929256747531229	-	PUTATIVE SECRETED PROTEIN P60-RELATED PROTEIN 
Rv0025	-	7	217.4	70.9	0.576	-0.974	351.2	99.3	0.62	0.71	0.0839769947510532	0.7073980332282873	-	hypothetical protein Rv0025 
Rv0026	-	14	130.2	122.2	0.043	-0.045	260.4	201.3	0.50	0.61	0.854744639291002	1.0	-	hypothetical protein Rv0026 
Rv0027	-	5	7.1	33.9	-1.079	0.610	35.3	112.9	0.20	0.30	0.134033405937374	0.8426065888921787	-	hypothetical protein Rv0027 
Rv0028	-	5	53.1	44.1	0.116	-0.126	159.3	147.0	0.33	0.30	0.85784914635743	1.0	-	hypothetical protein Rv0028 
Rv0029	-	18	548.1	129.4	0.686	-1.355	822.2	186.4	0.67	0.69	0.0323948708998966	0.44288181276691835	-	hypothetical protein Rv0029 
Rv0030	-	5	10.6	19.7	-0.372	0.296	79.2	98.6	0.13	0.20	0.580894331027962	1.0	-	hypothetical protein Rv0030 
Rv0031	-	1	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	TA sites <= 1, not analyzed	POSSIBLE REMNANT OF A TRANSPOSASE 
Rv0032	bioF2	57	169.7	119.3	0.225	-0.266	414.6	256.7	0.41	0.46	0.898373183043078	1.0	-	POSSIBLE 8-AMINO-7-OXONONANOATE SYNTHASE BIOF2 (AONS) (8-AMINO-7-KETOPELARGONATE SYNTHASE) (7-KETO-8-AMINO-PELARGONIC ACID SYNTHETASE) (7-KAP SYNTHETASE) (L-ALANINE--PIMELYL CoA LIGASE) 
Rv0033	acpA	3	192.3	145.9	0.181	-0.206	192.3	145.9	1.00	1.00	0.622622856201146	1.0	-	PROBABLE ACYL CARRIER PROTEIN ACPA (ACP) 
Rv0034	-	5	226.2	151.1	0.256	-0.311	308.5	215.8	0.73	0.70	0.909321004542438	1.0	-	hypothetical protein Rv0034 
Rv0035	fadD34	25	197.4	197.0	0.001	-0.001	290.3	259.2	0.68	0.76	0.499409686384458	1.0	-	PROBABLE FATTY-ACID-CoA LIGASE FADD34 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE) 
Rv0036c	-	4	344.6	574.7	-0.410	0.319	459.4	574.7	0.75	1.00	0.120726083498547	0.8028284552653375	-	hypothetical protein Rv0036c 
Rv0037c	-	20	240.8	137.0	0.342	-0.450	336.0	288.4	0.72	0.47	0.0195613257194169	0.3349772086715598	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 
Rv0038	-	7	326.5	229.7	0.228	-0.270	457.1	321.6	0.71	0.71	0.967867927797748	1.0	-	hypothetical protein Rv0038 
Rv0039c	-	4	331.2	245.0	0.198	-0.230	662.5	490.0	0.50	0.50	0.968809600155592	1.0	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 
Rv0040c	mtc28	9	100.9	35.9	0.529	-0.843	170.3	71.9	0.59	0.50	0.394052641656872	1.0	-	SECRETED PROLINE RICH PROTEIN MTC28 (PROLINE RICH 28 KDA ANTIGEN) 
Rv0041	leuS	72	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	leucyl-tRNA synthetase 
Rv0042c	-	5	31.8	48.3	-0.292	0.243	79.5	120.8	0.40	0.40	0.434357931579681	1.0	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 
Rv0043c	-	10	54.0	78.5	-0.272	0.229	101.3	157.0	0.53	0.50	0.0969977266323223	0.747318208031759	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 
Rv0044c	-	20	148.5	184.2	-0.159	0.143	234.5	254.1	0.63	0.72	0.288953398377315	1.0	-	POSSIBLE OXIDOREDUCTASE 
Rv0045c	-	7	220.8	244.2	-0.073	0.069	257.6	262.9	0.86	0.93	0.423566656717862	1.0	-	POSSIBLE HYDROLASE 
Rv0046c	ino1	16	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 
Rv0047c	-	7	20.4	112.8	-1.497	0.719	142.5	315.9	0.14	0.36	0.231112327292039	1.0	-	hypothetical protein Rv0047c 
Rv0048c	-	16	300.3	312.2	-0.028	0.027	389.6	370.0	0.77	0.84	0.370444986106822	1.0	-	POSSIBLE MEMBRANE PROTEIN 
Rv0049	-	8	187.6	79.0	0.478	-0.719	346.3	158.0	0.54	0.50	0.661691115266503	1.0	-	hypothetical protein Rv0049 
Rv0050	ponA1	37	29.9	18.8	0.251	-0.305	132.8	69.4	0.23	0.27	0.831411551948089	1.0	-	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 
Rv0051	-	34	79.9	95.6	-0.128	0.118	280.9	209.8	0.28	0.46	0.239811164204744	1.0	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 
Rv0052	-	7	141.6	196.4	-0.247	0.211	198.2	249.9	0.71	0.79	0.207876287085899	0.9786455139099347	-	hypothetical protein Rv0052 
Rv0053	rpsF	6	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	30S ribosomal protein S6 
Rv0054	ssb	5	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	single-strand DNA-binding protein 
Rv0055	rpsR	4	0.0	9.7	-0.978	0.578	0.0	77.6	0.00	0.12	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	30S ribosomal protein S18 
Rv0056	rplI	7	10.7	29.8	-0.685	0.462	56.3	59.7	0.19	0.50	0.23026765130895	1.0	-	50S ribosomal protein L9 
Rv0057	-	15	86.2	57.2	0.249	-0.302	215.4	143.0	0.40	0.40	0.912904075388011	1.0	-	hypothetical protein Rv0057 
Rv0058	dnaB	39	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	replicative DNA helicase 
Rv0059	-	20	190.1	207.3	-0.062	0.059	285.2	307.1	0.67	0.68	0.350036386327	1.0	-	hypothetical protein Rv0059 
Rv0060	-	23	8.4	10.2	-0.092	0.087	290.6	234.6	0.03	0.04	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	hypothetical protein Rv0060 
Rv0061	-	6	138.6	98.7	0.216	-0.254	207.9	197.3	0.67	0.50	0.417194097950739	1.0	-	hypothetical protein Rv0061 
Rv0062	celA1	21	155.0	161.8	-0.030	0.030	263.9	212.4	0.59	0.76	0.279837635440636	1.0	-	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 
Rv0063	-	23	881.2	217.7	0.677	-1.316	1351.2	294.5	0.65	0.74	0.014890181591821	0.282913450244599	-	POSSIBLE OXIDOREDUCTASE 
Rv0064	-	68	74.0	63.6	0.098	-0.105	181.8	144.1	0.41	0.44	0.828653838118359	1.0	-	hypothetical protein Rv0064 
Rv0065	-	8	135.7	73.0	0.363	-0.487	361.9	166.9	0.38	0.44	0.872688137468496	1.0	-	hypothetical protein Rv0065 
Rv0066c	icd2	38	0.0	0.2	-0.032	0.032	0.0	17.2	0.00	0.01	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	PROBABLE ISOCITRATE DEHYDROGENASE 
Rv0067c	-	12	38.3	30.1	0.143	-0.159	229.7	144.5	0.17	0.21	0.991954140633324	1.0	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 
Rv0068	-	12	218.7	118.5	0.366	-0.491	342.4	203.2	0.64	0.58	0.770103693736733	1.0	-	short chain dehydrogenase 
Rv0069c	sdaA	12	13771.6	223.6	0.976	-4.937	49577.7	487.8	0.28	0.46	0.11906374687997	0.7997716330826268	-	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 
Rv0070c	glyA2	18	102.6	99.9	0.019	-0.019	230.9	224.7	0.44	0.44	0.588526094151427	1.0	-	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 
Rv0071	-	8	487.3	379.0	0.168	-0.190	779.7	606.4	0.62	0.62	0.949640333142279	1.0	-	POSSIBLE MATURASE 
Rv0072	-	16	242.8	209.2	0.101	-0.109	416.2	304.3	0.58	0.69	0.842034184591684	1.0	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 
Rv0073	-	15	221.0	278.1	-0.172	0.153	310.8	309.0	0.71	0.90	0.10978344317639	0.774926273183563	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 
Rv0074	-	19	78.7	67.0	0.105	-0.113	149.4	141.3	0.53	0.47	0.395807490693847	1.0	-	hypothetical protein Rv0074 
Rv0075	-	24	213.9	170.1	0.152	-0.170	327.6	247.4	0.65	0.69	0.904270035057576	1.0	-	PROBABLE AMINOTRANSFERASE 
Rv0076c	-	3	230.8	138.5	0.314	-0.402	259.6	166.2	0.89	0.83	0.928115618775062	1.0	-	PROBABLE MEMBRANE PROTEIN 
Rv0077c	-	14	120.0	145.3	-0.139	0.127	209.9	203.5	0.57	0.71	0.443319326448066	1.0	-	PROBABLE OXIDOREDUCTASE 
Rv0078	-	8	9.3	15.2	-0.266	0.225	74.8	48.5	0.12	0.31	0.490197589225477	1.0	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 
Rv0078A	-	10	91.8	142.6	-0.336	0.272	183.6	190.1	0.50	0.75	0.244338765103088	1.0	-	hypothetical protein Rv0078A 
Rv0079	-	14	323.6	293.9	0.067	-0.070	453.1	433.1	0.71	0.68	0.628942048628046	1.0	-	hypothetical protein Rv0079 
Rv0080	-	4	469.7	356.8	0.183	-0.209	563.6	570.8	0.83	0.62	0.421288708182147	1.0	-	hypothetical protein Rv0080 
Rv0081	-	5	271.9	293.7	-0.056	0.054	339.9	367.1	0.80	0.80	0.633472028432042	1.0	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 
Rv0082	-	7	125.7	140.0	-0.077	0.073	263.9	245.1	0.48	0.57	0.780068528780576	1.0	-	PROBABLE OXIDOREDUCTASE 
Rv0083	-	23	113.6	159.9	-0.257	0.218	174.2	237.3	0.65	0.67	0.0365251555368397	0.4686024777877505	-	PROBABLE OXIDOREDUCTASE 
Rv0084	hycD	9	86.1	143.4	-0.394	0.309	166.1	215.2	0.52	0.67	0.180841165265019	0.9416832359444095	-	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 
Rv0085	hycP	4	57.3	58.1	-0.009	0.009	114.6	116.1	0.50	0.50	0.900831280228051	1.0	-	POSSIBLE HYDROGENASE HYCP 
Rv0086	hycQ	15	36.6	26.4	0.189	-0.218	86.7	60.8	0.42	0.43	0.944050573692543	1.0	-	POSSIBLE HYDROGENASE HYCQ 
Rv0087	hycE	25	19.9	28.3	-0.225	0.194	149.2	128.6	0.13	0.22	0.614839375779001	1.0	-	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 
Rv0088	-	14	43.7	26.4	0.282	-0.350	183.4	105.6	0.24	0.25	0.91291243574176	1.0	-	hypothetical protein Rv0088 
Rv0089	-	10	105.1	88.4	0.114	-0.123	165.9	126.3	0.63	0.70	0.972107827561876	1.0	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 
Rv0090	-	12	101.6	110.7	-0.061	0.058	166.2	177.2	0.61	0.62	0.424414744416528	1.0	-	POSSIBLE MEMBRANE PROTEIN 
Rv0091	mtn	11	211.8	291.5	-0.244	0.208	332.8	427.6	0.64	0.68	0.297316080383951	1.0	-	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 
Rv0092	ctpA	30	76.3	134.3	-0.440	0.337	132.1	196.5	0.58	0.68	0.0155646893057704	0.2902014501402986	-	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 
Rv0093c	-	8	59.7	60.9	-0.013	0.013	130.2	121.8	0.46	0.50	0.879446352842068	1.0	-	PROBABLE CONSERVED MEMBRANE PROTEIN 
Rv0094c	-	14	101.9	94.6	0.050	-0.052	112.6	98.1	0.90	0.96	0.426922107053206	1.0	-	hypothetical protein Rv0094c 
Rv0095c	-	9	61.7	62.0	-0.003	0.003	277.6	223.1	0.22	0.28	0.983927141249232	1.0	-	hypothetical protein Rv0095c 
Rv0096	PPE1	34	160.5	145.9	0.065	-0.068	292.4	283.5	0.55	0.51	0.282559679254762	1.0	-	PPE FAMILY PROTEIN 
Rv0097	-	26	75.9	126.1	-0.390	0.307	179.5	285.2	0.42	0.44	0.100341550285693	0.7568294624573063	-	POSSIBLE OXIDOREDUCTASE 
Rv0098	-	11	62.6	31.8	0.374	-0.506	187.9	69.9	0.33	0.45	0.273362840770356	1.0	-	hypothetical protein Rv0098 
Rv0099	fadD10	32	39.8	32.5	0.122	-0.133	152.7	122.4	0.26	0.27	0.75893470678436	1.0	-	acyl-CoA synthetase 
Rv0100	-	3	71.3	138.0	-0.522	0.383	160.5	275.9	0.44	0.50	0.681034598164998	1.0	-	hypothetical protein Rv0100 
Rv0101	nrp	122	275.6	104.6	0.524	-0.832	736.3	223.8	0.37	0.47	0.000720305913885257	0.031638795138930136	-	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 
Rv0102	-	42	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 
Rv0103c	ctpB	30	199.8	180.7	0.069	-0.072	333.1	252.1	0.60	0.72	0.594028359723111	1.0	-	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 
Rv0104	-	27	158.0	177.3	-0.083	0.079	261.1	266.0	0.60	0.67	0.269379142474095	1.0	-	hypothetical protein Rv0104 
Rv0105c	rpmB	5	192.9	98.4	0.394	-0.543	578.7	246.0	0.33	0.40	0.842613651136006	1.0	-	50S ribosomal protein L28 
Rv0106	-	12	77.9	86.4	-0.072	0.068	140.2	138.2	0.56	0.62	0.550579277218477	1.0	-	hypothetical protein Rv0106 
Rv0107c	ctpI	65	118.9	111.4	0.044	-0.046	293.5	258.7	0.41	0.43	0.42062923456385	1.0	-	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 
Rv0108c	-	2	265.4	232.5	0.090	-0.097	265.4	310.0	1.00	0.75	0.236072406189752	1.0	-	hypothetical protein Rv0108c 
Rv0109	PE_PGRS1	27	34.5	19.0	0.315	-0.404	99.7	56.9	0.35	0.33	0.772008498469315	1.0	-	PE-PGRS FAMILY PROTEIN 
Rv0110	-	13	568.8	485.6	0.109	-0.117	765.0	601.3	0.74	0.81	0.827127473422893	1.0	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 
Rv0111	-	42	334.8	109.5	0.581	-0.988	547.8	191.7	0.61	0.57	0.0124890380325351	0.25167303914048006	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 
Rv0112	gca	31	12.1	11.8	0.013	-0.013	93.8	81.3	0.13	0.15	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 
Rv0113	gmhA	12	32.1	54.7	-0.382	0.302	192.8	328.0	0.17	0.17	0.709298205267378	1.0	-	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 
Rv0114	gmhB	9	131.2	98.5	0.184	-0.211	253.1	161.2	0.52	0.61	0.952851332694209	1.0	-	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 
Rv0115	hddA	18	135.9	173.8	-0.182	0.161	198.4	231.7	0.69	0.75	0.354025984018804	1.0	-	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 
Rv0116c	-	17	130.0	121.9	0.044	-0.046	201.0	148.0	0.65	0.82	0.36260277033102	1.0	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 
Rv0117	oxyS	17	35.0	51.8	-0.275	0.231	99.3	146.8	0.35	0.35	0.319935930363324	1.0	-	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 
Rv0118c	oxcA	26	72.6	68.5	0.039	-0.040	209.8	209.5	0.35	0.33	0.36629032209931	1.0	-	putative oxalyl-CoA decarboxylase 
Rv0119	fadD7	13	0.3	0.1	0.032	-0.033	6.3	2.3	0.05	0.04	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	acyl-CoA synthetase 
Rv0120c	fusA2	27	32.1	34.5	-0.045	0.044	173.5	116.4	0.19	0.30	0.606847177544404	1.0	-	elongation factor G 
Rv0121c	-	10	72.6	82.0	-0.084	0.080	167.6	182.1	0.43	0.45	0.61987547561182	1.0	-	hypothetical protein Rv0121c 
Rv0122	-	9	61.7	57.3	0.049	-0.051	208.3	147.3	0.30	0.39	0.940428415160749	1.0	-	hypothetical protein Rv0122 
Rv0123	-	8	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	hypothetical protein Rv0123 
Rv0124	PE_PGRS2	13	43.7	85.7	-0.517	0.380	89.8	171.4	0.49	0.50	0.102949798702888	0.7663613746726178	-	PE-PGRS FAMILY PROTEIN 
Rv0125	pepA	10	86.0	83.5	0.020	-0.020	143.3	98.2	0.60	0.85	0.228502471400054	1.0	-	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 
Rv0126	treS	31	16.8	4.9	0.458	-0.675	74.3	43.6	0.23	0.11	0.0881036954954892	0.7204149269421796	-	TREHALOSE SYNTHASE TRES 
Rv0127	-	30	0.0	3.3	-0.415	0.322	0.0	199.8	0.00	0.02	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	hypothetical protein Rv0127 
Rv0128	-	19	179.2	217.4	-0.143	0.130	291.8	258.2	0.61	0.84	0.0694996920512847	0.6602470744872047	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 
Rv0129c	fbpC	28	158.1	22.5	0.775	-1.791	415.0	84.1	0.38	0.27	0.0123833255087441	0.25167303914048006	-	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 
Rv0130	-	4	39.3	44.2	-0.079	0.075	67.3	59.0	0.58	0.75	0.822151400612954	1.0	-	hypothetical protein Rv0130 
Rv0131c	fadE1	18	72.5	108.4	-0.301	0.249	156.5	139.4	0.46	0.78	0.0215990305825758	0.353389995471891	-	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 
Rv0132c	fgd2	15	273.6	208.0	0.181	-0.207	397.2	297.1	0.69	0.70	0.937446185648078	1.0	-	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 
Rv0133	-	7	403.3	394.8	0.015	-0.015	470.5	425.2	0.86	0.93	0.605739238098022	1.0	-	PROBABLE ACETYLTRANSFERASE 
Rv0134	ephF	12	147.5	290.7	-0.556	0.400	160.9	348.8	0.92	0.83	0.000517435424734515	0.024578182674889464	-	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 
Rv0135c	-	11	53.7	153.9	-0.889	0.546	295.5	307.7	0.18	0.50	0.0623306620475236	0.6227376687137255	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 
Rv0136	cyp138	23	161.2	171.7	-0.045	0.044	271.3	254.8	0.59	0.67	0.521863565373347	1.0	-	PROBABLE CYTOCHROME P450 138 CYP138 
