#HMM - Genes
#command line: python3 ../../src/transit.py
#summary of gene calls: ES=650, GD=154, NE=3099, GA=81, N/A=6
#key: ES=essential, GD=insertions cause growth-defect, NE=non-essential, GA=insertions confer growth-advantage, N/A=not analyzed (genes with 0 TA sites)
#ORF	gene	annotation	TAs	ES sites	GD sites	NE sites	GA sites	saturation	mean	call
Rv0042c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY MARR-FAMILY) 	5	0	0	5	0	0.8000	119.25	NE
Rv0043c	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	11	0	0	11	0	0.7273	266.75	NE
Rv0044c	-	POSSIBLE OXIDOREDUCTASE 	20	0	0	20	0	0.7500	594.00	NE
Rv0045c	-	POSSIBLE HYDROLASE 	7	0	0	7	0	0.8571	772.67	NE
Rv0046c	ino1	MYO-INOSITOL-1-PHOSPHATE SYNTHASE INO1 (Inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (Glucose 6-phosphate cyclase) (Glucocycloaldolase) 	17	17	0	0	0	0.0000	0.00	ES
Rv0047c	-	hypothetical protein Rv0047c 	8	0	0	8	0	0.2500	214.00	NE
Rv0048c	-	POSSIBLE MEMBRANE PROTEIN 	16	0	0	16	0	0.8750	1029.36	NE
Rv0049	-	hypothetical protein Rv0049 	9	0	0	9	0	0.7778	815.86	NE
Rv0050	ponA1	PROBABLE BIFUNCTIONAL PENICILLIN-BINDING PROTEIN 1A/1B PONA1 (MUREIN POLYMERASE) (PBP1): PENICILLIN-INSENSITIVE TRANSGLYCOSYLASE (PEPTIDOGLYCAN TGASE) + PENICILLIN-SENSITIVE TRANSPEPTIDASE (DD-TRANSPEPTIDASE) 	37	0	0	37	0	0.3784	237.14	NE
Rv0051	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	34	0	0	34	0	0.5294	452.61	NE
Rv0052	-	hypothetical protein Rv0052 	7	0	0	7	0	0.8571	495.50	NE
Rv0053	rpsF	30S ribosomal protein S6 	7	0	0	7	0	0.1429	22.00	NE
Rv0054	ssb	single-strand DNA-binding protein 	5	5	0	0	0	0.0000	0.00	ES
Rv0055	rpsR	30S ribosomal protein S18 	5	5	0	0	0	0.0000	0.00	ES
Rv0056	rplI	50S ribosomal protein L9 	8	0	0	8	0	0.5000	147.25	NE
Rv0057	-	hypothetical protein Rv0057 	16	3	0	13	0	0.4375	553.86	NE
Rv0058	dnaB	replicative DNA helicase 	39	39	0	0	0	0.0000	0.00	ES
Rv0059	-	hypothetical protein Rv0059 	21	0	0	21	0	0.8095	688.41	NE
Rv0060	-	hypothetical protein Rv0060 	23	22	0	1	0	0.0435	581.00	ES
Rv0061	-	hypothetical protein Rv0061 	6	0	0	6	0	0.6667	623.75	NE
Rv0062	celA1	POSSIBLE CELLULASE CELA1 (ENDOGLUCANASE) (ENDO-1,4-BETA-GLUCANASE) (FI-CMCASE) (CARBOXYMETHYL CELLULASE) 	22	0	0	22	0	0.6818	651.07	NE
Rv0063	-	POSSIBLE OXIDOREDUCTASE 	24	0	0	21	3	0.7500	3419.83	NE
Rv0064	-	hypothetical protein Rv0064 	69	0	0	69	0	0.5217	419.58	NE
Rv0065	-	hypothetical protein Rv0065 	8	3	0	5	0	0.5000	814.00	NE
Rv0066c	icd2	PROBABLE ISOCITRATE DEHYDROGENASE 	38	38	0	0	0	0.0000	0.00	ES
Rv0067c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	12	0	0	12	0	0.2500	459.33	NE
Rv0068	-	short chain dehydrogenase 	12	0	0	12	0	0.7500	874.89	NE
Rv0069c	sdaA	PROBABLE L-SERINE DEHYDRATASE SDAA (L-SERINE DEAMINASE) (SDH) (L-SD) 	12	0	0	11	1	0.5000	82629.83	NE
Rv0070c	glyA2	PROBABLE SERINE HYDROXYMETHYLTRANSFERASE GLYA2 (SERINE METHYLASE 2) (SHMT 2) 	18	0	0	18	0	0.6667	461.75	NE
Rv0071	-	POSSIBLE MATURASE 	8	0	0	8	0	0.7500	1949.17	NE
Rv0072	-	PROBABLE GLUTAMINE-TRANSPORT TRANSMEMBRANE PROTEIN ABC TRANSPORTER 	17	0	0	17	0	0.7647	937.62	NE
Rv0073	-	PROBABLE GLUTAMINE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 	16	0	0	16	0	1.0000	629.44	NE
Rv0074	-	hypothetical protein Rv0074 	20	0	0	20	0	0.8000	307.94	NE
Rv0075	-	PROBABLE AMINOTRANSFERASE 	25	0	0	25	0	0.7600	813.53	NE
Rv0076c	-	PROBABLE MEMBRANE PROTEIN 	3	0	0	3	0	1.0000	692.33	NE
Rv0077c	-	PROBABLE OXIDOREDUCTASE 	15	0	0	15	0	0.7333	609.73	NE
Rv0078	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	9	0	0	9	0	0.3333	398.67	NE
Rv0078A	-	hypothetical protein Rv0078A 	10	0	0	10	0	0.8000	344.25	NE
Rv0079	-	hypothetical protein Rv0079 	14	0	0	14	0	0.8571	1132.75	NE
Rv0080	-	hypothetical protein Rv0080 	5	0	0	5	0	0.8000	1409.00	NE
Rv0081	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 	6	0	0	6	0	0.8333	872.60	NE
Rv0082	-	PROBABLE OXIDOREDUCTASE 	7	0	0	7	0	0.5714	660.00	NE
Rv0083	-	PROBABLE OXIDOREDUCTASE 	23	0	0	23	0	0.7826	435.56	NE
Rv0084	hycD	POSSIBLE FORMATE HYDROGENLYASE HYCD (FHL) 	9	0	0	9	0	0.6667	387.67	NE
Rv0085	hycP	POSSIBLE HYDROGENASE HYCP 	4	0	0	4	0	0.5000	344.00	NE
Rv0086	hycQ	POSSIBLE HYDROGENASE HYCQ 	15	0	0	15	0	0.6000	182.78	NE
Rv0087	hycE	POSSIBLE FORMATE HYDROGENASE HYCE (FHL) 	26	14	0	12	0	0.2308	248.50	ES
Rv0088	-	hypothetical protein Rv0088 	14	0	0	14	0	0.2857	458.50	NE
Rv0089	-	POSSIBLE METHYLTRANSFERASE/METHYLASE 	11	0	0	11	0	0.8182	425.11	NE
Rv0090	-	POSSIBLE MEMBRANE PROTEIN 	12	0	0	12	0	0.7500	406.11	NE
Rv0091	mtn	PROBABLE BIFUNCTIONAL MTA/SAH NUCLEOSIDASE MTN: 5'-METHYLTHIOADENOSINE NUCLEOSIDASE (METHYLTHIOADENOSINE METHYLTHIORIBOHYDROLASE) + S-ADENOSYLHOMOCYSTEINE NUCLEOSIDASE (S-ADENOSYL-L-HOMOCYSTEINE HOMOCYSTEINYLRIBOHYDROLASE) 	11	0	0	11	0	0.7273	873.62	NE
Rv0092	ctpA	PROBABLE CATION TRANSPORTER P-TYPE ATPASE A CTPA 	30	0	0	30	0	0.7667	298.70	NE
Rv0093c	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	9	0	0	9	0	0.5556	286.60	NE
Rv0094c	-	hypothetical protein Rv0094c 	14	0	0	14	0	1.0000	305.71	NE
Rv0095c	-	hypothetical protein Rv0095c 	10	0	0	10	0	0.4000	517.75	NE
Rv0096	PPE1	PPE FAMILY PROTEIN 	34	0	0	34	0	0.7353	654.96	NE
Rv0097	-	POSSIBLE OXIDOREDUCTASE 	26	0	0	26	0	0.6154	370.25	NE
Rv0098	-	hypothetical protein Rv0098 	12	0	0	12	0	0.6667	258.50	NE
Rv0099	fadD10	acyl-CoA synthetase 	32	0	0	32	0	0.3750	318.25	NE
Rv0100	-	hypothetical protein Rv0100 	4	0	0	4	0	0.5000	321.00	NE
Rv0101	nrp	PROBABLE PEPTIDE SYNTHETASE NRP (PEPTIDE SYNTHASE) 	123	0	0	122	1	0.4878	1681.22	NE
Rv0102	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	42	42	0	0	0	0.0000	0.00	ES
Rv0103c	ctpB	PROBABLE CATION-TRANSPORTER P-TYPE ATPASE B CTPB 	31	0	0	31	0	0.7097	817.55	NE
Rv0104	-	hypothetical protein Rv0104 	28	0	0	28	0	0.8214	582.43	NE
Rv0105c	rpmB	50S ribosomal protein L28 	5	0	0	5	0	0.4000	1447.00	NE
Rv0106	-	hypothetical protein Rv0106 	12	0	0	12	0	0.7500	311.67	NE
Rv0107c	ctpI	PROBABLE CATION-TRANSPORTER ATPASE I CTPI 	66	0	0	66	0	0.5152	682.00	NE
Rv0108c	-	hypothetical protein Rv0108c 	2	0	0	2	0	1.0000	796.00	NE
Rv0109	PE_PGRS1	PE-PGRS FAMILY PROTEIN 	28	0	0	28	0	0.5357	390.00	NE
Rv0110	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	13	0	0	13	0	0.7692	2218.40	NE
Rv0111	-	POSSIBLE TRANSMEMBRANE ACYLTRANSFERASE 	43	0	0	43	0	0.7209	1360.84	NE
Rv0112	gca	POSSIBLE GDP-MANNOSE 4,6-DEHYDRATASE GCA (GDP-D-MANNOSE DEHYDRATASE) 	31	0	28	3	0	0.2258	160.57	GD
Rv0113	gmhA	PROBABLE SEDOHEPTULOSE-7-PHOSPHATE ISOMERASE GMHA (PHOSPHOHEPTOSE ISOMERASE) 	13	0	7	6	0	0.2308	385.67	GD
Rv0114	gmhB	POSSIBLE D-ALPHA,BETA-D-HEPTOSE-1,7-BIPHOSPHATE PHOSPHATASE GMHB (D-GLYCERO-D-MANNO-HEPTOSE 7-PHOSPHATE KINASE) 	10	0	0	10	0	0.8000	499.12	NE
Rv0115	hddA	POSSIBLE D-ALPHA-D-HEPTOSE-7-PHOSPHATE KINASE HDDA 	18	0	0	18	0	0.9444	431.82	NE
Rv0116c	-	POSSIBLE CONSERVED MEMBRANE PROTEIN 	18	0	0	18	0	0.7222	510.15	NE
Rv0117	oxyS	OXIDATIVE STRESS RESPONSE REGULATORY PROTEIN OXYS 	17	0	0	17	0	0.5294	198.67	NE
Rv0118c	oxcA	putative oxalyl-CoA decarboxylase 	26	0	0	26	0	0.4615	472.17	NE
Rv0119	fadD7	acyl-CoA synthetase 	14	0	14	0	0	0.0714	13.00	GD
Rv0120c	fusA2	elongation factor G 	28	0	9	19	0	0.2857	330.38	NE
Rv0121c	-	hypothetical protein Rv0121c 	10	0	0	10	0	0.6000	363.00	NE
Rv0122	-	hypothetical protein Rv0122 	9	0	0	9	0	0.6667	278.00	NE
Rv0123	-	hypothetical protein Rv0123 	9	0	0	9	0	0.1111	262.00	NE
Rv0124	PE_PGRS2	PE-PGRS FAMILY PROTEIN 	14	0	0	14	0	0.5000	243.71	NE
Rv0125	pepA	PROBABLE SERINE PROTEASE PEPA (SERINE PROTEINASE) (MTB32A) 	10	0	0	10	0	0.9000	286.56	NE
Rv0126	treS	TREHALOSE SYNTHASE TRES 	31	0	0	31	0	0.4516	111.64	NE
Rv0127	-	hypothetical protein Rv0127 	30	30	0	0	0	0.0000	0.00	ES
Rv0128	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	20	0	0	20	0	0.7500	680.67	NE
Rv0129c	fbpC	SECRETED ANTIGEN 85-C FBPC (85C) (ANTIGEN 85 COMPLEX C) (AG58C) (MYCOLYL TRANSFERASE 85C) (FIBRONECTIN-BINDING PROTEIN C) 	28	0	0	28	0	0.4643	1021.31	NE
Rv0130	-	hypothetical protein Rv0130 	4	0	0	4	0	0.7500	157.00	NE
Rv0131c	fadE1	PROBABLE ACYL-CoA DEHYDROGENASE FADE1 	18	0	0	18	0	0.6111	355.73	NE
Rv0132c	fgd2	PUTATIVE F420-DEPENDENT GLUCOSE-6-PHOSPHATE DEHYDROGENASE FGD2 	15	0	0	15	0	0.8000	1026.00	NE
Rv0133	-	PROBABLE ACETYLTRANSFERASE 	8	0	0	8	0	0.7500	1411.50	NE
Rv0134	ephF	POSSIBLE EPOXIDE HYDROLASE EPHF (EPOXIDE HYDRATASE) (ARENE-OXIDE HYDRATASE) 	12	0	0	12	0	1.0000	442.33	NE
Rv0135c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	12	0	0	12	0	0.2500	757.67	NE
Rv0136	cyp138	PROBABLE CYTOCHROME P450 138 CYP138 	23	0	0	23	0	0.7391	654.35	NE
Rv0137c	msrA	methionine sulfoxide reductase A 	11	0	0	11	0	0.7273	264.38	NE
Rv0138	-	hypothetical protein Rv0138 	7	0	0	7	0	1.0000	1427.57	NE
Rv0139	-	POSSIBLE OXIDOREDUCTASE 	12	0	0	12	0	0.9167	1562.91	NE
Rv0140	-	hypothetical protein Rv0140 	16	0	0	16	0	0.6875	1113.82	NE
Rv0141c	-	hypothetical protein Rv0141c 	9	0	0	9	0	0.4444	910.00	NE
Rv0142	-	hypothetical protein Rv0142 	7	0	0	7	0	0.7143	257.80	NE
Rv0143c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	28	0	0	28	0	0.7857	928.05	NE
Rv0144	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	14	0	0	14	0	0.8571	838.83	NE
Rv0145	-	hypothetical protein Rv0145 	15	0	0	15	0	0.6667	440.20	NE
Rv0146	-	hypothetical protein Rv0146 	17	0	0	17	0	0.7647	1251.85	NE
Rv0147	-	PROBABLE ALDEHYDE DEHYDROGENASE (NAD+) DEPENDENT 	26	0	0	26	0	0.8462	932.45	NE
Rv0148	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 	17	0	0	17	0	0.8824	668.20	NE
Rv0149	-	POSSIBLE QUINONE OXIDOREDUCTASE (NADPH:QUINONE OXIDOREDUCTASE) (ZETA-CRYSTALLIN) 	22	0	0	22	0	0.6818	528.87	NE
Rv0150c	-	hypothetical protein Rv0150c 	5	0	0	5	0	0.4000	177.50	NE
Rv0151c	PE1	PE FAMILY PROTEIN 	44	0	0	44	0	0.7045	1448.84	NE
Rv0152c	PE2	PE FAMILY PROTEIN 	40	0	0	40	0	0.8250	1469.82	NE
Rv0153c	ptbB	PHOSPHOTYROSINE PROTEIN PHOSPHATASE PTPB (PROTEIN-TYROSINE-PHOSPHATASE) (PTPase) 	11	0	0	11	0	0.2727	94.00	NE
Rv0154c	fadE2	PROBABLE ACYL-CoA DEHYDROGENASE FADE2 	12	0	0	12	0	0.5833	104.00	NE
Rv0155	pntAa	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAA 	11	0	0	11	0	0.6364	212.29	NE
Rv0156	pntAb	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT ALPHA) PNTAB 	1	0	0	1	0	1.0000	919.00	NE
Rv0157	pntB	PROBABLE NAD(P) TRANSHYDROGENASE (SUBUNIT BETA) PNTB 	15	0	0	15	0	0.6000	110.11	NE
Rv0158	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (POSSIBLY TETR-FAMILY) 	16	0	0	16	0	0.8750	932.00	NE
Rv0159c	PE3	PE FAMILY PROTEIN 	50	0	0	50	0	0.8200	990.95	NE
Rv0160c	PE4	PE FAMILY PROTEIN 	42	0	0	42	0	0.7381	1253.19	NE
Rv0161	-	POSSIBLE OXIDOREDUCTASE 	19	0	0	19	0	0.5263	259.00	NE
Rv0162c	adhE1	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE (E SUBUNIT) ADHE 	17	0	0	17	0	0.5882	340.30	NE
Rv0163	-	hypothetical protein Rv0163 	11	0	0	11	0	0.8182	271.00	NE
Rv0164	TB18.5	hypothetical protein Rv0164 	9	0	0	9	0	0.2222	1917.50	NE
Rv0165c	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY) 	8	0	0	8	0	0.7500	459.33	NE
Rv0166	fadD5	acyl-CoA synthetase 	28	0	0	28	0	0.7143	1055.15	NE
Rv0167	yrbE1A	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1A 	7	0	0	0	7	0.8571	916.33	GA
Rv0168	yrbE1B	CONSERVED HYPOTHETICAL INTEGRAL MEMBRANE PROTEIN YRBE1B 	15	0	0	0	15	0.9333	9413.14	GA
Rv0169	mce1A	MCE-FAMILY PROTEIN MCE1A 	39	0	0	0	39	0.8462	1762.94	GA
Rv0170	mce1B	MCE-FAMILY PROTEIN MCE1B 	18	0	0	0	18	0.9444	827.47	GA
Rv0171	mce1C	MCE-FAMILY PROTEIN MCE1C 	25	0	0	0	25	0.9200	1161.30	GA
Rv0172	mce1D	MCE-FAMILY PROTEIN MCE1D 	33	0	0	0	33	0.8788	973.10	GA
Rv0173	lprK	POSSIBLE MCE-FAMILY LIPOPROTEIN LPRK (MCE-FAMILY LIPOPROTEIN MCE1E) 	16	0	0	0	16	0.8125	1805.46	GA
Rv0174	mce1F	MCE-FAMILY PROTEIN MCE1F 	31	0	0	0	31	0.8387	2150.12	GA
Rv0175	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	9	0	0	0	9	0.7778	2693.29	GA
Rv0176	-	PROBABLE CONSERVED MCE ASSOCIATED TRANSMEMBRANE PROTEIN 	15	0	0	6	9	0.8000	24202.25	GA
Rv0177	-	PROBABLE CONSERVED MCE ASSOCIATED PROTEIN 	12	0	0	12	0	0.7500	1095.89	NE
Rv0178	-	PROBABLE CONSERVED MCE ASSOCIATED MEMBRANE PROTEIN 	12	0	0	12	0	0.6667	1526.62	NE
Rv0179c	lprO	POSSIBLE LIPOPROTEIN LPRO 	23	0	0	23	0	0.9130	624.24	NE
Rv0180c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	29	0	0	29	0	0.6207	315.11	NE
Rv0181c	-	hypothetical protein Rv0181c 	16	0	0	16	0	0.5625	1030.22	NE
Rv0182c	sigG	RNA polymerase factor sigma-70 	21	0	0	21	0	0.7619	510.38	NE
Rv0183	-	POSSIBLE LYSOPHOSPHOLIPASE 	16	0	0	16	0	0.9375	1073.33	NE
Rv0184	-	hypothetical protein Rv0184 	11	0	0	11	0	0.3636	541.25	NE
Rv0185	-	hypothetical protein Rv0185 	10	0	0	10	0	0.3000	880.33	NE
Rv0186	bglS	PROBABLE BETA-GLUCOSIDASE BGLS (GENTIOBIASE) (CELLOBIASE) (BETA-D-GLUCOSIDE GLUCOHYDROLASE) 	34	0	0	34	0	0.3529	444.58	NE
Rv0187	-	PROBABLE O-METHYLTRANSFERASE 	8	0	0	8	0	0.5000	494.50	NE
Rv0188	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	11	4	0	7	0	0.3636	178.50	NE
Rv0189c	ilvD	dihydroxy-acid dehydratase 	23	23	0	0	0	0.0000	0.00	ES
Rv0190	-	hypothetical protein Rv0190 	3	0	0	3	0	1.0000	122.67	NE
Rv0191	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 	20	0	0	20	0	0.9000	2242.50	NE
Rv0192	-	hypothetical protein Rv0192 	14	0	0	14	0	1.0000	1468.36	NE
Rv0192A	-	CONSERVED SECRETED PROTEIN 	3	0	0	3	0	1.0000	722.33	NE
Rv0193c	-	hypothetical protein Rv0193c 	35	0	0	35	0	0.8286	638.66	NE
Rv0194	-	PROBABLE DRUGS-TRANSPORT TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSPORTER 	56	0	0	56	0	0.8214	1035.74	NE
Rv0195	-	POSSIBLE TWO COMPONENT TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY LUXR-FAMILY) 	6	0	0	6	0	1.0000	988.50	NE
Rv0196	-	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN 	7	0	0	7	0	1.0000	601.71	NE
Rv0197	-	POSSIBLE OXIDOREDUCTASE 	34	0	0	34	0	0.5882	417.95	NE
Rv0198c	-	PROBABLE ZINC METALLOPROTEASE 	43	0	0	43	0	0.4186	566.22	NE
Rv0199	-	PROBABLE CONSERVED MEMBRANE PROTEIN 	12	0	0	12	0	0.4167	297.60	NE
Rv0200	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 	8	0	0	8	0	0.6250	1590.00	NE
Rv0201c	-	hypothetical protein Rv0201c 	9	0	0	9	0	0.8889	156.50	NE
Rv0202c	mmpL11	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL11 	39	0	31	8	0	0.1795	182.57	GD
Rv0203	-	POSSIBLE EXPORTED PROTEIN 	4	0	0	4	0	1.0000	691.25	NE
Rv0204c	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	20	0	0	20	0	0.2500	79.60	NE
Rv0205	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	13	0	0	13	0	0.6154	626.88	NE
Rv0206c	mmpL3	POSSIBLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL3 	35	31	0	4	0	0.0571	104.00	ES
Rv0207c	-	hypothetical protein Rv0207c 	9	0	0	9	0	0.7778	316.43	NE
Rv0208c	trmB	tRNA (guanine-N(7))-methyltransferase 	12	11	0	1	0	0.0833	213.00	ES
Rv0209	-	hypothetical protein Rv0209 	15	0	0	15	0	0.6000	407.56	NE
Rv0210	-	hypothetical protein Rv0210 	13	0	0	13	0	0.6923	805.89	NE
Rv0211	pckA	phosphoenolpyruvate carboxykinase 	25	23	0	2	0	0.0400	192.00	ES
Rv0212c	nadR	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN NADR (PROBABLY ASNC-FAMILY) 	7	0	0	7	0	0.8571	802.50	NE
Rv0213c	-	POSSIBLE METHYLTRANSFERASE (METHYLASE) 	31	0	0	31	0	0.7742	768.33	NE
Rv0214	fadD4	acyl-CoA synthetase 	34	0	0	34	0	0.6176	579.38	NE
Rv0215c	fadE3	PROBABLE ACYL-CoA DEHYDROGENASE FADE3 	18	0	0	18	0	0.7222	605.00	NE
Rv0216	-	hypothetical protein Rv0216 	24	0	0	24	0	0.2083	115.80	NE
Rv0217c	lipW	POSSIBLE ESTERASE LIPW 	22	0	0	22	0	0.6818	446.53	NE
Rv0218	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	19	0	0	19	0	0.7895	962.67	NE
Rv0219	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 	12	0	0	12	0	0.6667	563.62	NE
Rv0220	lipC	PROBABLE ESTERASE LIPC 	25	0	0	25	0	0.4800	345.92	NE
Rv0221	-	hypothetical protein Rv0221 	28	0	0	28	0	0.5357	659.67	NE
